,university,career,inscription_date,name,gender,nacimiento,location,email
964,universidad tecnológica nacional,licenciatura en sociología ,2021/01/13,mr. christopher carlson jr.,m,1967/07/20,agua amarga,cguzman@yahoo.com
965,universidad tecnológica nacional,licenciatura en ciencia política ,2020/10/06,julia gallegos,f,1973/07/14,calchaqui,cortiz@gmail.com
966,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/09/23,gina oliver,f,1974/05/12,blaquier,michaelpaul@yahoo.com
967,universidad tecnológica nacional,licenciatura en psicología,2021/01/13,eric phillips,m,1915/04/14,correa,rosejason@yahoo.com
968,universidad tecnológica nacional,diseño industrial,2020/12/27,kimberly wood,f,2001/05/14,comodoro rivadavia,mhayes@gmail.com
969,universidad tecnológica nacional,licenciatura en musicoterapia,2020/11/17,nancy myers,f,1908/10/25,arturo vatteone,rsharp@hotmail.com
970,universidad tecnológica nacional,farmacia,2020/09/06,john harrison,m,1911/07/28,alagon,robert81@yahoo.com
971,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/10/20,robert reed,m,1909/04/05,bombal,gguzman@hotmail.com
972,universidad tecnológica nacional,ciencias veterinarias,2020/12/15,jonathan huff,m,1937/12/29,los corredores,christopherfletcher@hotmail.com
973,universidad tecnológica nacional,actuario ,2020/12/06,cory perez,m,1981/03/13,bonpland norte,juliamitchell@hotmail.com
974,universidad tecnológica nacional,contador público ,2020/12/09,sandra silva,f,2019/11/24,aeropuerto ezeiza,rmay@hotmail.com
975,universidad tecnológica nacional,licenciatura en musicoterapia,2021/01/02,lori yates,f,2001/02/12,12 de octubre,coreygibson@yahoo.com
976,universidad tecnológica nacional,contador público ,2020/10/27,michele sherman,f,1989/10/12,erezcano,emily86@hotmail.com
977,universidad tecnológica nacional,licenciatura en psicología,2021/01/23,renee george,f,2011/11/07,corbett,xwilliams@gmail.com
978,universidad tecnológica nacional,agronomía,2020/12/07,charles bailey,m,1976/10/20,campo rodriguez,lewismallory@gmail.com
979,universidad tecnológica nacional,agronomía,2020/12/29,lisa morrison,f,2006/02/17,arminda,morenojason@yahoo.com
980,universidad tecnológica nacional,contador público ,2021/01/11,mark esparza,m,2006/02/11,correa,adkinsmelissa@yahoo.com
981,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2021/01/14,jesus carney,m,2020/04/05,juan vucetich ex dr r levene,aliciagalvan@yahoo.com
982,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020/12/01,regina reyes,f,2021/01/26,el arbolito,taylortony@gmail.com
983,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/09/30,elizabeth mcdaniel,f,1941/03/28,funke,kevin96@yahoo.com
984,universidad tecnológica nacional,ciencias veterinarias,2020/09/29,samantha wilson,f,2019/05/05,baños pismanta,dianaross@gmail.com
985,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/09/08,melissa parker,f,2019/12/23,cerana,fjohnson@yahoo.com
986,universidad tecnológica nacional,bioquímica,2020/10/23,robert smith,m,1964/03/01,el cipres,kelsey48@yahoo.com
987,universidad tecnológica nacional,ingeniería mecánica,2020/09/15,steven johnson,m,2021/08/01,ricardo rojas,sawyerandrew@hotmail.com
988,universidad tecnológica nacional,ciencias veterinarias,2021/01/03,linda price,f,1909/01/12,campo monte la viruela,bill63@yahoo.com
989,universidad tecnológica nacional,licenciatura en ciencia política ,2020/09/18,micheal lopez,m,1919/11/30,ampata,contreraspaul@yahoo.com
990,universidad tecnológica nacional,actuario ,2020/10/11,amy miller,f,1957/08/25,colonia josefa,dunncynthia@yahoo.com
991,universidad tecnológica nacional,ingeniería mecánica,2020/11/26,jose trujillo,m,1952/06/01,gorchs,dgarcia@hotmail.com
992,universidad tecnológica nacional,bioquímica,2021/01/27,jesus reynolds,m,1939/01/18,cinco saltos,cindygarza@yahoo.com
993,universidad tecnológica nacional,ingeniería mecánica,2020/09/28,brandon myers,m,1990/04/12,batiruana,bakermary@yahoo.com
994,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/11/13,alvin walker,m,1932/09/02,barrio la union,lyonssydney@gmail.com
995,universidad tecnológica nacional,licenciatura en psicología,2021/01/07,corey burton,m,1964/01/03,el cenizo,david48@yahoo.com
996,universidad tecnológica nacional,actuario ,2020/10/19,crystal smith,f,2010/07/27,buena nueva,garciawesley@gmail.com
997,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/09/26,tiffany hunter,f,1947/04/19,san mayol,jacobblevins@hotmail.com
998,universidad tecnológica nacional,licenciatura en psicología,2020/10/23,robin baker,f,1956/01/29,bella vista,perkinsrobert@yahoo.com
999,universidad tecnológica nacional,licenciatura en artes,2020/09/07,hayley lawson,f,1938/12/07,estacion saguier,colonalfred@yahoo.com
1000,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020/11/18,michelle patterson,f,1926/10/30,villa numancia,dawnwarner@hotmail.com
1001,universidad tecnológica nacional,licenciatura en sociología ,2020/12/16,kelly reeves,f,2005/12/14,jose leon suarez,silvascott@yahoo.com
1002,universidad tecnológica nacional,farmacia,2020/12/02,jordan bryant,f,1918/01/21,la lucila,wharris@yahoo.com
1003,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020/09/09,donna lucas,f,1942/04/13,cañadon de las vacas,sellersrussell@gmail.com
1004,universidad tecnológica nacional,agronomía,2020/10/12,blake pitts,m,1975/04/14,campo redondo,schneiderlindsey@gmail.com
1005,universidad tecnológica nacional,licenciatura en ciencias geológicas,2021/01/11,timothy collins,m,1957/11/05,colonia la gaviota,moyermichael@gmail.com
1006,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/11/10,nicole myers,f,1915/08/12,bigand,davidcarroll@gmail.com
1007,universidad tecnológica nacional,farmacia,2020/09/27,tina fuentes,f,1963/05/20,alzaga,carolynnguyen@hotmail.com
1008,universidad tecnológica nacional,licenciatura en ciencias biológicas,2021/01/01,louis hawkins,m,1987/06/17,9 de julio,troyjenkins@yahoo.com
1009,universidad tecnológica nacional,ciencias veterinarias,2020/10/10,matthew roberts,m,2007/09/07,don torcuato,williamspenny@hotmail.com
1010,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/12/18,mark williams,m,1985/10/19,abramo,bwillis@yahoo.com
1011,universidad tecnológica nacional,diseño industrial,2020/10/25,aaron wade,m,1924/10/09,girodias,jamesburnett@gmail.com
1012,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2021/01/25,michelle lee,f,1949/11/02,coronel granada,hmiller@yahoo.com
1013,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/09/02,christine dominguez,f,2014/08/01,campo la lima,wwhite@hotmail.com
1014,universidad tecnológica nacional,ciencias veterinarias,2020/11/11,christopher myers,m,2004/05/15,estacion saguier,ortegarobert@hotmail.com
1015,universidad tecnológica nacional,técnico para bioterios ,2020/09/06,angela newman,f,1924/08/18,anderson,matthewwilliams@yahoo.com
1016,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/10/23,kelly williams,f,1918/05/06,kilometro 374,srose@yahoo.com
1017,universidad tecnológica nacional,licenciatura en administración ,2021/01/09,brian gay,m,1958/06/03,acasape,joanhoover@gmail.com
1018,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/12/09,stacey morales,f,1925/03/26,campo crenna,millerlaurie@gmail.com
1019,universidad tecnológica nacional,diseño de imagen y sonido,2021/01/02,connie macias,f,1990/11/28,cucullu,sharon39@hotmail.com
1020,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2021/01/08,alyssa jones,f,2007/12/10,arturo segui,murphyfrederick@hotmail.com
1021,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2020/09/10,rhonda wilson,f,2002/06/09,abra de pives,penningtonnicholas@gmail.com
1022,universidad tecnológica nacional,bioquímica,2020/10/09,lance mann,m,1979/08/02,el lenguaraz,esoto@yahoo.com
1023,universidad tecnológica nacional,licenciatura en administración ,2021/01/07,andrew snyder,m,1909/07/12,alto del saladillo,nathan36@gmail.com
1024,universidad tecnológica nacional,diseño de imagen y sonido,2021/01/29,katie salinas,f,2005/11/21,ambas puntillas,mrussell@yahoo.com
1025,universidad tecnológica nacional,farmacia,2020/11/20,kevin lopez,m,1942/06/28,despeñaderos,jennifer26@hotmail.com
1026,universidad tecnológica nacional,licenciatura en ciencias biológicas,2021/01/12,savannah herman,f,1998/02/20,aguada de guerra,justinmiller@hotmail.com
1027,universidad tecnológica nacional,ingeniería en informática,2020/10/26,zachary carroll,m,1991/12/27,los gauchos,weaverlisa@gmail.com
1028,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020/11/11,justin macdonald,m,1965/01/24,rafael castillo,kboyer@gmail.com
1029,universidad tecnológica nacional,licenciatura en psicología,2021/01/20,edward brown,m,1918/10/30,catamontaña,obriencory@yahoo.com
1030,universidad tecnológica nacional,ciencias veterinarias,2020/11/26,deborah adams,f,1923/06/16,colonia nueva montevideo,michealbradley@yahoo.com
1031,universidad tecnológica nacional,ingeniería en informática,2020/09/18,maria avila,f,1919/12/08,bella vista,oluna@yahoo.com
1032,universidad tecnológica nacional,bioquímica,2020/11/23,jordan jones,m,1979/09/17,la oriental,amberhaynes@gmail.com
1033,universidad tecnológica nacional,medicina,2020/11/03,rachel green,f,1973/05/08,el pingo,jocelynstewart@gmail.com
1034,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/12/16,brittany baker,f,1910/08/24,alegria,ryanwalter@yahoo.com
1035,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2021/01/04,jeremy walker,m,1980/04/25,cervantes,garzasamuel@gmail.com
1036,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/09/03,sabrina thompson,f,1992/10/03,estrada,emurphy@yahoo.com
1037,universidad tecnológica nacional,licenciatura en ciencia política ,2020/12/01,carlos smith,m,1908/01/21,san francisco solano,gibsonandrew@gmail.com
1038,universidad tecnológica nacional,diseño de imagen y sonido,2021/01/15,stacie hawkins,f,1988/05/04,villa de mayo,deanna19@gmail.com
1039,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2021/01/06,mercedes garcia,f,1933/06/02,aldea maria luisa,bbolton@hotmail.com
1040,universidad tecnológica nacional,actuario ,2020/11/15,stacy dougherty,f,1969/05/02,cushamen,patricia87@gmail.com
1041,universidad tecnológica nacional,licenciatura en sociología ,2020/11/30,courtney olsen,f,1923/07/29,centinela,davisstacy@gmail.com
1042,universidad tecnológica nacional,diseño de imagen y sonido,2020/12/27,jason price,m,1951/03/09,agua cercada,gregorystevens@gmail.com
1043,universidad tecnológica nacional,licenciatura en musicoterapia,2020/10/24,michelle miller,f,1939/08/15,carmen,ohuber@hotmail.com
1044,universidad tecnológica nacional,actuario ,2020/11/05,joanne frye,f,1962/11/21,abbott,ureese@gmail.com
1045,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/12/10,zachary rivas,m,1987/11/05,el jupiter,umoran@gmail.com
1046,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/10/17,william thomas,m,2019/01/15,juan vucetich ex dr r levene,zachary69@hotmail.com
1047,universidad tecnológica nacional,diseño de imagen y sonido,2020/10/28,brandon morgan,m,1948/05/03,balneario claromeco,nsnyder@hotmail.com
1048,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/09/18,brian cruz,m,2017/12/23,carahunco,deborah78@gmail.com
1049,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/10/11,james rivers,m,1990/08/21,nordelta,johnsonpatricia@yahoo.com
1050,universidad tecnológica nacional,ingeniería electrónica,2020/10/10,dana torres,f,2021/10/30,barrio don santiago,wcummings@gmail.com
1051,universidad tecnológica nacional,diseño industrial,2020/11/02,lauren gross,f,1974/01/03,belgrano,maryhartman@gmail.com
1052,universidad tecnológica nacional,licenciatura en planificación y diseño del paisaje,2021/01/26,debra reeves,f,2009/03/29,colonia leiva,huntbrenda@gmail.com
1053,universidad tecnológica nacional,farmacia,2020/12/02,lisa rogers,f,1954/07/04,aranguren,racheljackson@hotmail.com
1054,universidad tecnológica nacional,ingeniería electrónica,2020/09/25,kaitlyn cross,f,1964/11/09,aguango,timothy84@gmail.com
1055,universidad tecnológica nacional,agronomía,2021/01/06,william cox,m,1933/01/10,carmen,kevin10@yahoo.com
1056,universidad tecnológica nacional,ingeniería electrónica,2020/10/31,kelly beck,f,1977/03/13,colonia la india,glenn26@yahoo.com
1057,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/11/08,jennifer gay dds,f,1986/09/03,francisco madero,whitneymary@hotmail.com
1058,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/10/10,nathaniel lopez,m,1924/11/05,guillermo e hudson,huntermoreno@hotmail.com
1059,universidad tecnológica nacional,licenciatura en administración ,2020/10/19,susan mendoza,f,1945/01/12,porvenir,carly50@hotmail.com
1060,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/09/03,francisco rowland,m,1981/10/16,coronel pringles,amy69@yahoo.com
1061,universidad tecnológica nacional,ingeniería electrónica,2021/01/10,dale contreras,m,1934/02/16,abra el candado,brownkyle@hotmail.com
1062,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/09/30,andrew stone,m,1920/03/11,san bernardo del tuyu,nicole35@yahoo.com
1063,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/11/01,christian wilson,m,1924/03/24,alberto flores,robert75@gmail.com
1064,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/11/11,jill taylor,f,1998/05/06,isla victoria,petersonstefanie@hotmail.com
1065,universidad tecnológica nacional,bioquímica,2020/12/03,justin freeman,m,1924/08/05,agua azul,edouglas@yahoo.com
1066,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/12/01,todd cohen,m,1932/09/20,la ribera,kylepatterson@yahoo.com
1067,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/10/26,teresa floyd,f,1963/08/31,arminda,nguyenjacob@gmail.com
1068,universidad tecnológica nacional,diseño industrial,2020/10/17,samantha york,f,1946/09/07,candelaria sud,frankkaren@hotmail.com
1069,universidad tecnológica nacional,ciencias veterinarias,2020/09/01,benjamin rice,m,1945/04/16,bayauca,timothy98@yahoo.com
1070,universidad tecnológica nacional,licenciatura en administración ,2020/11/17,christopher meza,m,1931/02/18,el olivo,samantha46@yahoo.com
1071,universidad tecnológica nacional,licenciatura en ciencia política ,2020/12/27,mr. kevin white iii,m,1915/02/08,9 de julio,russell74@gmail.com
1072,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2021/01/09,cristina bowers,f,1937/10/18,arroyo mal paso,timothy76@gmail.com
1073,universidad tecnológica nacional,diseño industrial,2021/01/28,tammie smith,f,1930/07/24,fuerte quemado,wsmith@gmail.com
1074,universidad tecnológica nacional,agronomía,2020/12/10,benjamin snow dvm,m,1931/04/06,acasape,yweber@yahoo.com
1075,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/10/29,juan hunter,m,1959/09/08,drabble,veronicamoore@yahoo.com
1076,universidad tecnológica nacional,farmacia,2020/09/26,christina lane,f,1962/10/04,domselaar,riverajessica@yahoo.com
1077,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2020/09/01,mrs. desiree perez,f,2008/03/03,aguada grande,eduardomartin@gmail.com
1078,universidad tecnológica nacional,ciencias veterinarias,2020/11/21,ralph lambert,m,1984/11/07,rafael calzada,gtorres@gmail.com
1079,universidad tecnológica nacional,licenciatura en artes,2021/01/04,kelly taylor,f,1942/07/02,arroyo corralito,jmolina@hotmail.com
1080,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/10/16,christina moreno,f,2002/11/12,bombal,levinesheryl@gmail.com
1081,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/10/01,allison wright,f,1965/07/09,aguada chacay co,melissacampbell@hotmail.com
1082,universidad tecnológica nacional,arquitectura,2020/10/12,laura douglas,f,1914/07/28,aldo bonzi,kanecharles@hotmail.com
1083,universidad tecnológica nacional,bioquímica,2020/10/07,margaret allen,f,1971/07/06,villars,jacobsanthony@hotmail.com
1084,universidad tecnológica nacional,ingeniería en informática,2020/12/07,debra riddle,f,1917/04/11,los frentones,shanefisher@yahoo.com
1085,universidad tecnológica nacional,ingeniería electrónica,2020/09/14,thomas chang,m,1915/06/11,colonia hardy,curtis30@gmail.com
1086,universidad tecnológica nacional,ingeniería electrónica,2020/11/11,ashley hubbard,f,2017/01/17,isla victoria,sdunlap@hotmail.com
1087,universidad tecnológica nacional,licenciatura en artes,2020/11/29,erin harmon,f,2013/07/29,barrio lencina,patriciaoliver@yahoo.com
1088,universidad tecnológica nacional,licenciatura en administración ,2020/10/28,rebecca drake,f,1964/11/05,alvarez jonte,ncraig@yahoo.com
1089,universidad tecnológica nacional,bioquímica,2020/11/23,danielle spencer,f,1909/09/23,catua,robertgonzalez@hotmail.com
1090,universidad tecnológica nacional,contador público ,2020/11/27,joe taylor,m,1939/07/02,campo magnin,nicholasbrown@gmail.com
1091,universidad tecnológica nacional,licenciatura en ciencias ambientales,2020/10/25,melissa guzman,f,1985/09/10,atalaya,kristin33@gmail.com
1092,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/11/21,jennifer davis,f,2009/05/29,bahia lapataia,brianyu@gmail.com
1093,universidad tecnológica nacional,ingeniería electrónica,2020/12/18,david schmidt,m,1973/12/18,langueyu,travismiller@yahoo.com
1094,universidad tecnológica nacional,actuario ,2021/01/28,jennifer fletcher,f,1974/11/18,avenida ejercito parana,zsmith@gmail.com
1095,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/12/27,gregory olson,m,1948/02/05,colonia falco,briana59@hotmail.com
1096,universidad tecnológica nacional,agronomía,2020/12/29,anthony cervantes,m,1960/12/27,9 de julio,jdyer@yahoo.com
1097,universidad tecnológica nacional,bioquímica,2020/10/29,elizabeth miller,f,1974/09/15,chivilcoy,eric04@gmail.com
1098,universidad tecnológica nacional,licenciatura en musicoterapia,2020/12/24,jose harrington,m,1942/04/18,chapi talo,royvillarreal@hotmail.com
1099,universidad tecnológica nacional,bioquímica,2021/01/22,elizabeth gutierrez,f,1938/05/18,colonia devoto,cisnerosbrandon@yahoo.com
1100,universidad tecnológica nacional,técnico para bioterios ,2021/01/02,rebecca valencia,f,1985/05/23,17 de agosto,michael78@gmail.com
1101,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/09/27,grace knapp,f,1950/02/22,arroyo burgos,mary66@gmail.com
1102,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/09/26,douglas hobbs,m,1926/01/06,alto de sierra,eking@hotmail.com
1103,universidad tecnológica nacional,farmacia,2021/01/07,anthony mclean,m,1987/03/04,agua blanca,hsparks@hotmail.com
1104,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2021/01/30,sara christensen,f,1962/06/11,benito juarez,whitevincent@gmail.com
1105,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2021/01/19,kim kirk,f,1949/10/27,achico,lawrenceanita@yahoo.com
1106,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/12/07,johnny bush,m,1916/12/13,arroyo magdalena,stephenmassey@gmail.com
1107,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/12/19,mary fisher,f,1962/05/02,dina huapi,iunderwood@hotmail.com
1108,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020/09/19,jason jones,m,1934/07/15,alabama,gporter@hotmail.com
1109,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/09/29,brandon snow md,m,1986/01/17,hurlingham,katherinesteele@yahoo.com
1110,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/10/30,timothy jones md,m,2008/03/18,arata,jeffery18@hotmail.com
1111,universidad tecnológica nacional,diseño industrial,2021/01/09,theodore walker,m,1908/01/07,bacacay,wdelgado@hotmail.com
1112,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2020/10/15,joseph bond,m,2010/04/28,dock sud,jennifer19@yahoo.com
1113,universidad tecnológica nacional,bioquímica,2020/10/27,joseph jones,m,1942/02/24,amadores,wgarcia@gmail.com
1114,universidad tecnológica nacional,agronomía,2020/11/13,amanda martin,f,1947/10/17,campo ubajo,jfranklin@gmail.com
1115,universidad tecnológica nacional,farmacia,2021/01/19,alexis stewart,f,2004/12/25,7 de abril,callahandebra@gmail.com
1116,universidad tecnológica nacional,ingeniería electrónica,2020/11/05,amber ochoa,f,2006/05/16,felicia,cpham@hotmail.com
1117,universidad tecnológica nacional,medicina,2020/12/03,deborah brown,f,1975/12/27,carrizal norte,aaron15@hotmail.com
1118,universidad tecnológica nacional,actuario ,2021/01/19,emily jenkins,f,1949/03/28,olascoaga,johnsonderrick@gmail.com
1119,universidad tecnológica nacional,ingeniería en informática,2020/11/10,christina wong,f,1918/05/25,aguapey,keithcook@gmail.com
1120,universidad tecnológica nacional,diseño industrial,2021/01/04,judy campbell,f,1976/12/31,la chilca,kimberly57@yahoo.com
1121,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/11/16,daniel bernard,m,1944/10/15,colonia santa rosa,kanebrian@gmail.com
1122,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/09/07,james thomas,m,1990/08/17,la punta,xdiaz@gmail.com
1123,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021/01/02,bradley good,m,1969/11/12,caaguazu,pattonamber@gmail.com
1124,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/12/19,todd shannon,m,1941/09/26,albarracin,joseph84@hotmail.com
1125,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/09/16,helen hill,f,2014/08/27,30 de agosto,wesleywilson@hotmail.com
1126,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/09/07,sean delacruz,m,1998/02/02,alto del saladillo,carrpaul@hotmail.com
1127,universidad tecnológica nacional,contador público ,2020/11/09,marie pearson,f,1943/04/27,agua de torre,imercado@gmail.com
1128,universidad tecnológica nacional,licenciatura en gestión de agroalimentos,2021/01/26,anita cruz,f,1977/01/10,la lucila del mar,sklein@gmail.com
1129,universidad tecnológica nacional,ingeniería mecánica,2021/01/10,tanya nichols md,f,1967/03/30,an aike,diane34@hotmail.com
1130,universidad tecnológica nacional,licenciatura en psicología,2020/11/25,natasha george,f,1977/12/23,berazategui,jade84@gmail.com
1131,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/11/06,joseph barber,m,1969/07/14,aaron castellanos,ftucker@yahoo.com
1132,universidad tecnológica nacional,diseño de imagen y sonido,2020/11/18,rebecca anderson,f,1949/01/23,campo de los andes,justin59@gmail.com
1133,universidad tecnológica nacional,licenciatura en ciencias de la educación ,2020/10/12,jake ruiz,m,1928/09/25,maria magdalena,vanderson@yahoo.com
1134,universidad tecnológica nacional,licenciatura en psicología,2020/11/23,gabrielle wright,f,1944/05/09,arroyo castillo,xjordan@gmail.com
1135,universidad tecnológica nacional,actuario ,2020/10/20,craig patterson,m,2002/03/24,amuschina,james17@gmail.com
1136,universidad tecnológica nacional,contador público ,2020/12/18,john wang,m,1951/07/02,barrio belgrano,jenniferguerra@gmail.com
1137,universidad tecnológica nacional,ingeniería en informática,2020/10/30,jessica williams,f,1989/11/07,cañada,schwartzjessica@gmail.com
1138,universidad tecnológica nacional,licenciatura en sociología ,2020/10/09,crystal scott,f,1927/06/08,calderon,mooredonna@gmail.com
1139,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021/01/07,casey young,f,1959/07/26,ranelagh,morajay@yahoo.com
1140,universidad tecnológica nacional,licenciatura en ciencias de la computación,2021/01/27,kevin parker,m,2001/01/13,arbol verde,anthonyjillian@gmail.com
1141,universidad tecnológica nacional,licenciatura en relaciones del trabajo ,2020/10/12,theresa ortiz,f,1922/02/18,el abanico,stephensmichael@gmail.com
1142,universidad tecnológica nacional,contador público ,2020/12/16,evelyn odom,f,1996/05/21,general conesa,davischarles@yahoo.com
1143,universidad tecnológica nacional,licenciatura en psicología,2020/09/26,jennifer cross,f,1910/12/14,campo zavalla,elizabethchavez@hotmail.com
1144,universidad tecnológica nacional,licenciatura en administración ,2020/12/06,kyle jones,m,2007/09/11,acheral,lewisjohn@hotmail.com
1145,universidad tecnológica nacional,licenciatura en musicoterapia,2020/11/13,jason hunt,m,1997/10/23,gobernador duval,james03@hotmail.com
1146,universidad tecnológica nacional,licenciatura en ciencias antropológicas,2021/01/14,laura jackson,f,1972/04/27,algarrobitos 1ro,seanstone@gmail.com
1147,universidad tecnológica nacional,licenciatura en sociología ,2020/09/28,theodore allen,m,1914/05/13,villa sauce,laura21@hotmail.com
1148,universidad tecnológica nacional,licenciatura en producción de bioimagenes,2020/09/14,rhonda white,f,1938/11/20,estancia las isletas,jjohnson@yahoo.com
1149,universidad tecnológica nacional,agronomía,2020/09/03,vanessa gardner,f,1928/07/06,piamonte,amber33@yahoo.com
1150,universidad tecnológica nacional,ciencias veterinarias,2021/01/31,lisa torres,f,1913/08/23,la pastora,carolyn93@gmail.com
1151,universidad tecnológica nacional,licenciatura en ciencias geológicas,2020/11/21,steven butler,m,1957/01/22,barrio jardin luzuriaga,leahporter@hotmail.com
1152,universidad tecnológica nacional,bioquímica,2020/09/09,kimberly smith,f,1950/06/17,clason,pcallahan@gmail.com
1153,universidad tecnológica nacional,ingeniería electrónica,2021/01/17,dylan aguirre,m,1960/09/08,albigasta,bryanjason@gmail.com
1154,universidad tecnológica nacional,ingeniería en informática,2021/01/26,jesse rose,m,1991/05/28,san pedro de iruya,cgill@gmail.com
1155,universidad tecnológica nacional,licenciatura en kinesiología y fisiatría,2020/10/17,travis schroeder,m,1939/01/17,la ines,nicholas72@gmail.com
1156,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/11/16,richard wilson,m,1972/12/12,oriente,gabbott@yahoo.com
1157,universidad tecnológica nacional,licenciatura en ciencias de la computación,2020/09/06,dustin hughes,m,1930/04/08,cacique ariacaiquin,coxkaren@gmail.com
1158,universidad tecnológica nacional,actuario ,2020/10/07,miss kara gilmore,f,1907/12/24,aldea beleiro,gpatel@gmail.com
1159,universidad tecnológica nacional,licenciatura en ciencias biológicas,2021/01/03,john henderson,m,1921/12/07,isidro casanova,eric73@hotmail.com
1160,universidad tecnológica nacional,ingeniería electrónica,2020/09/12,michael rojas,m,1985/03/15,alejandro petion,burchsteven@yahoo.com
1161,universidad tecnológica nacional,medicina,2021/01/31,mia briggs,f,1975/04/21,chamical,kbenton@gmail.com
1162,universidad tecnológica nacional,licenciatura en sociología ,2020/09/05,david bennett,m,1957/11/18,abra mayo,briggslisa@yahoo.com
1163,universidad tecnológica nacional,licenciatura en artes,2020/09/30,tamara chaney,f,1922/04/15,barrio parque leloir,gwalker@yahoo.com
1164,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/10/28,stephanie larsen,f,1906/10/06,avenida ejercito parana,martinezmarilyn@hotmail.com
1165,universidad tecnológica nacional,técnico para bioterios ,2021/01/20,james smith,m,1998/11/23,villa lynch,robert35@yahoo.com
1166,universidad tecnológica nacional,licenciatura en ciencias biológicas,2020/11/22,gary mack,m,2011/01/24,arroyo del cura,hollowayalejandro@hotmail.com
1167,universidad tecnológica nacional,licenciatura en psicología,2020/12/11,madison morales,f,1972/08/20,campo moises seccion 1a,stevencurtis@hotmail.com
1168,universidad tecnológica nacional,arquitectura,2020/11/29,patricia herrera,f,1934/01/25,colonia freitas,asteele@yahoo.com
1169,universidad tecnológica nacional,licenciatura en terapia ocupacional,2020/09/02,pamela obrien,f,1949/03/06,alto con zampa,eric38@yahoo.com
1170,universidad tecnológica nacional,licenciatura en ciencia y tecnología de alimentos,2020/12/26,jason glenn,m,2016/04/04,aeropuerto ezeiza,marvin63@gmail.com
